ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2013-01-26 22:17:14+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],197186,US,71.56.209.168,One Thing,One Direction,Up All Night,spotify:track:6tKW2g2So84pCTZXE0Furx,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-01-26 23:32:08+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],103185,US,71.56.209.168,Alfie,Lily Allen,"Alright, Still",spotify:track:7CQf32iorpefGd4v8aMLvR,,,,trackdone,fwdbtn,TRUE,TRUE,FALSE,,FALSE
2013-01-26 23:40:34+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],183560,US,71.56.209.168,Va Va Voom,Nicki Minaj,Pink Friday ... Roman Reloaded,spotify:track:2jATUzETZL49e6SywauZKE,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-01-27 01:44:07+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],192986,US,71.56.209.168,We Are Never Ever Getting Back Together,Taylor Swift,We Are Never Ever Getting Back Together,spotify:track:53HDOVjPio9hPhpE935MAu,,,,fwdbtn,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-01-27 02:06:44+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],244106,US,71.56.209.168,Gotta Be You,One Direction,Up All Night,spotify:track:3UT493iwo6kvyL18zvAJE5,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-01-27 02:10:47+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],241466,US,71.56.209.168,Bruises,Chairlift,Does You Inspire You,spotify:track:4mdyVTV7Tr5YDFnD2kvSM4,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-01-27 02:18:56+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],240066,US,71.56.209.168,Safe & Sound - from The Hunger Games Soundtrack,Taylor Swift,The Hunger Games: Songs From District 12 And Beyond,spotify:track:0z9UVN8VBHJ9HdfYsOuuNf,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-01-27 03:23:20+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],192533,US,71.56.209.168,Up All Night,One Direction,Up All Night,spotify:track:0UiPtG3O5NxIHDp8uy9jgM,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-01-27 03:55:55+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],171306,US,71.56.209.168,I Want,One Direction,Up All Night,spotify:track:57YTtS0ryAWywzvCaMd5fL,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-01-27 10:08:49+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],245120,US,71.56.209.168,Foundations,Kate Nash,Made of Bricks,spotify:track:1wi4ti9BYUbwoGJ1EBUVtv,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-01-27 21:33:31+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],61946,US,71.56.209.168,Kaleidoscope Heart,Sara Bareilles,Kaleidoscope Heart,spotify:track:0uwm2EOditziKCWSRRLN0A,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
